EmployeeID,FullName,Role,Department,avatar_url,QueryLogID,QueryTime,hour_of_day,QueryType,AffectedTable,RowsExamined,RowsReturned,ExecutionTime,QueryLength,IsSensitive,AuthLogID,LoginTime,LogoutTime,SourceIP,DeviceInfo,LoginStatus
13,Sara Carey,DBA,IT,.\assets\user13.png,548,2026-01-23 15:19:23.417,15,UPDATE,Employees,69,18,0.8261751501083533,37,True,,,,,,
4,Emily Reid,DBA,Finance,.\assets\user4.png,589,2026-01-23 20:50:23.417,20,DELETE,QueryLogs,12,2,0.9970303754802002,124,False,,,,,,
14,Terrance Clark,DBA,IT,.\assets\user14.png,569,2026-01-23 20:56:23.417,20,DELETE,QueryLogs,47,8,1.2680637448090286,161,False,,,,,,
10,Jonathan Moore,DBA,IT,.\assets\user10.png,621,2026-01-23 23:06:23.417,23,INSERT,Employees,100,59,1.5326517822008103,192,False,,,,,,
20,Kevin Dunn,User,IT,.\assets\user20.png,613,2026-01-23 23:56:23.417,23,INSERT,QueryLogs,83,96,0.69384716965191,80,False,,,,,,
4,Emily Reid,DBA,Finance,.\assets\user4.png,588,2026-01-24 00:32:23.417,0,DELETE,QueryLogs,80,87,0.13097678887527764,27,False,,,,,,
9,Amy Tanner,User,IT,.\assets\user9.png,571,2026-01-24 02:08:23.417,2,INSERT,WorkingHours,72,30,0.7030817359043506,143,False,,,,,,
6,Melissa Garrison,DBA,IT,.\assets\user6.png,638,2026-01-24 07:04:23.417,7,UPDATE,AuthenticationLogs,49,31,1.6153892244702264,36,False,,,,,,
18,Steven Smith,User,HR,.\assets\user18.png,632,2026-01-24 07:16:23.417,7,SELECT,QueryLogs,88,73,0.19613030320348013,167,False,521.0,2026-01-24 07:15:23.417,2026-01-24 08:41:23.417,192.168.1.18,Laptop,Success
21,UEBA Attacker,,,./assets/UnknowUser.png,652,2026-01-24 07:50:23.417,7,UPDATE,QueryLogs,289,226,1.5719381732165307,208,False,,,,,,
4,Emily Reid,DBA,Finance,.\assets\user4.png,586,2026-01-24 11:31:23.417,11,SELECT,WorkingHours,74,98,0.7474252579831754,144,False,,,,,,
7,Dr. Kyle Kim,Admin,HR,.\assets\user7.png,598,2026-01-24 12:57:23.417,12,UPDATE,AuthenticationLogs,36,69,0.14327282516075418,79,False,,,,,,
19,Justin Price,DBA,IT,.\assets\user19.png,602,2026-01-24 14:21:23.417,14,UPDATE,WorkingHours,51,48,0.9854481489093673,113,False,,,,,,
6,Melissa Garrison,DBA,IT,.\assets\user6.png,640,2026-01-24 17:26:23.417,17,INSERT,WorkingHours,73,43,0.4626691205649811,158,False,,,,,,
11,Philip Barron,DBA,IT,.\assets\user11.png,555,2026-01-24 18:23:23.417,18,DELETE,QueryLogs,62,13,1.8922421894645254,133,False,,,,,,
4,Emily Reid,DBA,Finance,.\assets\user4.png,585,2026-01-24 21:50:23.417,21,INSERT,AuthenticationLogs,75,40,1.8082849800235354,25,False,,,,,,
5,Audrey Hughes,DBA,IT,.\assets\user5.png,543,2026-01-24 23:52:23.417,23,UPDATE,Employees,87,80,1.6738498273816278,79,True,,,,,,
1,Matthew Scott,DBA,HR,.\assets\user1.png,582,2026-01-25 00:11:23.417,0,DELETE,QueryLogs,41,25,1.4890255553940956,114,False,,,,,,
2,Dr. John Holder MD,User,HR,.\assets\user2.png,649,2026-01-25 00:11:23.417,0,INSERT,WorkingHours,53,92,1.1079374976276595,77,False,,,,,,
5,Audrey Hughes,DBA,IT,.\assets\user5.png,545,2026-01-25 01:01:23.417,1,DELETE,QueryLogs,55,83,1.5245383625059912,79,False,,,,,,
7,Dr. Kyle Kim,Admin,HR,.\assets\user7.png,595,2026-01-25 02:26:23.417,2,INSERT,QueryLogs,25,8,0.46612219692862655,50,False,,,,,,
19,Justin Price,DBA,IT,.\assets\user19.png,606,2026-01-25 08:51:23.417,8,UPDATE,WorkingHours,78,1,0.31905844494842206,175,False,,,,,,
21,UEBA Attacker,,,./assets/UnknowUser.png,655,2026-01-25 10:15:23.417,10,DELETE,Employees,309,91,1.2503913205620445,379,True,,,,,,
6,Melissa Garrison,DBA,IT,.\assets\user6.png,639,2026-01-25 12:02:23.417,12,SELECT,Employees,80,44,0.870980183243142,55,False,,,,,,
14,Terrance Clark,DBA,IT,.\assets\user14.png,566,2026-01-25 13:55:23.417,13,UPDATE,WorkingHours,25,22,0.7263803318954841,85,False,,,,,,
3,Mikayla Lee,User,Finance,.\assets\user3.png,592,2026-01-25 16:25:23.417,16,DELETE,Employees,35,80,1.516437475941544,200,True,,,,,,
17,Nicole Roberson,DBA,IT,.\assets\user17.png,626,2026-01-25 17:25:23.417,17,SELECT,QueryLogs,31,85,0.7320420741518077,163,False,,,,,,
15,John Luna,Admin,IT,.\assets\user15.png,644,2026-01-25 20:24:23.417,20,UPDATE,AuthenticationLogs,61,31,1.854373987536807,121,False,,,,,,
13,Sara Carey,DBA,IT,.\assets\user13.png,546,2026-01-25 21:14:23.417,21,SELECT,Employees,78,57,0.9606337486847799,159,False,,,,,,
16,James Fowler,Admin,HR,.\assets\user16.png,609,2026-01-25 21:45:23.417,21,DELETE,Employees,32,97,0.38200680805693044,44,True,,,,,,
17,Nicole Roberson,DBA,IT,.\assets\user17.png,629,2026-01-25 22:54:23.417,22,INSERT,WorkingHours,17,84,1.3589239326889635,30,False,,,,,,
12,John Brown,User,Finance,.\assets\user12.png,641,2026-01-26 01:24:23.417,1,SELECT,WorkingHours,27,86,1.52135280154113,30,False,,,,,,
1,Matthew Scott,DBA,HR,.\assets\user1.png,580,2026-01-26 04:39:23.417,4,UPDATE,AuthenticationLogs,14,85,0.5297211298599984,26,False,,,,,,
11,Philip Barron,DBA,IT,.\assets\user11.png,554,2026-01-26 05:24:23.417,5,DELETE,Employees,67,19,1.1032213732475629,130,True,,,,,,
9,Amy Tanner,User,IT,.\assets\user9.png,573,2026-01-26 05:41:23.417,5,INSERT,QueryLogs,52,51,0.47049651998013775,95,False,,,,,,
16,James Fowler,Admin,HR,.\assets\user16.png,612,2026-01-26 05:53:23.417,5,SELECT,WorkingHours,81,75,1.3581609667462065,42,False,,,,,,
16,James Fowler,Admin,HR,.\assets\user16.png,610,2026-01-26 06:37:23.417,6,DELETE,Employees,24,69,0.1738402296392147,39,True,,,,,,
18,Steven Smith,User,HR,.\assets\user18.png,631,2026-01-26 07:25:23.417,7,UPDATE,WorkingHours,69,7,0.29569337154213465,172,False,,,,,,
11,Philip Barron,DBA,IT,.\assets\user11.png,553,2026-01-26 08:42:23.417,8,DELETE,Employees,81,89,0.319795091934851,159,True,,,,,,
21,UEBA Attacker,,,./assets/UnknowUser.png,656,2026-01-26 09:46:23.417,9,SELECT,WorkingHours,155,370,4.806818588091902,255,False,,,,,,
8,Michael Henderson,Admin,Finance,.\assets\user8.png,561,2026-01-26 10:17:23.417,10,UPDATE,QueryLogs,8,31,0.7759015543186762,52,False,,,,,,
8,Michael Henderson,Admin,Finance,.\assets\user8.png,557,2026-01-26 10:42:23.417,10,UPDATE,AuthenticationLogs,46,70,1.2512410567487422,73,False,,,,,,
10,Jonathan Moore,DBA,IT,.\assets\user10.png,624,2026-01-26 11:52:23.417,11,UPDATE,AuthenticationLogs,60,55,1.8857262437555848,196,False,,,,,,
7,Dr. Kyle Kim,Admin,HR,.\assets\user7.png,599,2026-01-26 13:20:23.417,13,DELETE,Employees,76,72,0.14072598402371017,179,True,,,,,,
10,Jonathan Moore,DBA,IT,.\assets\user10.png,620,2026-01-26 18:29:23.417,18,SELECT,WorkingHours,68,33,0.6993348936659383,112,False,,,,,,
12,John Brown,User,Finance,.\assets\user12.png,643,2026-01-26 21:35:23.417,21,INSERT,WorkingHours,58,77,0.535254736172642,110,False,,,,,,
1,Matthew Scott,DBA,HR,.\assets\user1.png,581,2026-01-26 22:30:23.417,22,UPDATE,AuthenticationLogs,68,94,0.8364999980794072,40,False,,,,,,
13,Sara Carey,DBA,IT,.\assets\user13.png,551,2026-01-26 23:04:23.417,23,UPDATE,AuthenticationLogs,73,37,0.4199268888878731,155,False,,,,,,
17,Nicole Roberson,DBA,IT,.\assets\user17.png,625,2026-01-27 00:16:23.417,0,INSERT,WorkingHours,33,72,0.9012569731403194,152,False,,,,,,
3,Mikayla Lee,User,Finance,.\assets\user3.png,591,2026-01-27 00:56:23.417,0,UPDATE,Employees,81,23,0.3979574580261652,80,True,,,,,,
7,Dr. Kyle Kim,Admin,HR,.\assets\user7.png,596,2026-01-27 02:22:23.417,2,DELETE,QueryLogs,28,70,1.2754831949904235,120,False,,,,,,
19,Justin Price,DBA,IT,.\assets\user19.png,603,2026-01-27 03:07:23.417,3,DELETE,Employees,43,96,1.6327157062915403,142,True,,,,,,
14,Terrance Clark,DBA,IT,.\assets\user14.png,565,2026-01-27 03:30:23.417,3,DELETE,WorkingHours,54,49,1.1316730079041437,125,False,,,,,,
7,Dr. Kyle Kim,Admin,HR,.\assets\user7.png,597,2026-01-27 03:56:23.417,3,INSERT,Employees,51,74,0.5157695555680922,81,False,,,,,,
9,Amy Tanner,User,IT,.\assets\user9.png,576,2026-01-27 06:05:23.417,6,UPDATE,Employees,73,74,0.9305718612563011,124,True,,,,,,
21,UEBA Attacker,,,./assets/UnknowUser.png,653,2026-01-27 08:43:23.417,8,SELECT,QueryLogs,400,230,2.3131607707874244,499,False,,,,,,
14,Terrance Clark,DBA,IT,.\assets\user14.png,567,2026-01-27 09:24:23.417,9,SELECT,AuthenticationLogs,36,32,1.0221124637713874,135,False,,,,,,
18,Steven Smith,User,HR,.\assets\user18.png,630,2026-01-27 12:27:23.417,12,INSERT,WorkingHours,1,49,0.5415164852542091,180,False,,,,,,
11,Philip Barron,DBA,IT,.\assets\user11.png,556,2026-01-27 13:39:23.417,13,UPDATE,WorkingHours,39,68,0.8349577069331605,50,False,,,,,,
18,Steven Smith,User,HR,.\assets\user18.png,633,2026-01-27 14:18:23.417,14,UPDATE,AuthenticationLogs,74,42,1.4601913230706525,133,False,,,,,,
14,Terrance Clark,DBA,IT,.\assets\user14.png,570,2026-01-27 15:02:23.417,15,DELETE,QueryLogs,39,92,0.5288994833606541,103,False,,,,,,
8,Michael Henderson,Admin,Finance,.\assets\user8.png,558,2026-01-27 16:28:23.417,16,DELETE,QueryLogs,60,21,0.27924527412223143,176,False,,,,,,
18,Steven Smith,User,HR,.\assets\user18.png,634,2026-01-27 19:38:23.417,19,DELETE,QueryLogs,82,47,1.4923851749021666,124,False,,,,,,
20,Kevin Dunn,User,IT,.\assets\user20.png,615,2026-01-27 21:09:23.417,21,UPDATE,QueryLogs,49,13,0.453388323105955,126,False,,,,,,
8,Michael Henderson,Admin,Finance,.\assets\user8.png,560,2026-01-27 23:54:23.417,23,UPDATE,Employees,7,24,0.5966312242233774,66,True,,,,,,
19,Justin Price,DBA,IT,.\assets\user19.png,601,2026-01-28 02:42:23.417,2,DELETE,WorkingHours,82,29,1.54535867087363,67,False,,,,,,
21,UEBA Attacker,,,./assets/UnknowUser.png,654,2026-01-28 02:47:23.417,2,DELETE,Employees,170,83,1.498595974415878,298,True,,,,,,
17,Nicole Roberson,DBA,IT,.\assets\user17.png,627,2026-01-28 06:50:23.417,6,UPDATE,QueryLogs,34,94,1.4345133325088202,172,False,,,,,,
7,Dr. Kyle Kim,Admin,HR,.\assets\user7.png,600,2026-01-28 07:23:23.417,7,SELECT,Employees,53,50,1.8018832304788006,77,False,,,,,,
20,Kevin Dunn,User,IT,.\assets\user20.png,616,2026-01-28 10:18:23.417,10,DELETE,WorkingHours,1,68,1.7077287697476,51,False,,,,,,
13,Sara Carey,DBA,IT,.\assets\user13.png,547,2026-01-28 10:52:23.417,10,DELETE,AuthenticationLogs,68,86,1.9535513108148181,114,False,,,,,,
14,Terrance Clark,DBA,IT,.\assets\user14.png,568,2026-01-28 11:13:23.417,11,UPDATE,WorkingHours,85,50,0.7331836420347811,156,False,,,,,,
20,Kevin Dunn,User,IT,.\assets\user20.png,618,2026-01-28 12:43:23.417,12,DELETE,QueryLogs,24,94,0.46617337353928934,98,False,,,,,,
5,Audrey Hughes,DBA,IT,.\assets\user5.png,544,2026-01-28 13:53:23.417,13,DELETE,QueryLogs,21,77,0.5276980120725326,176,False,,,,,,
19,Justin Price,DBA,IT,.\assets\user19.png,605,2026-01-28 13:57:23.417,13,DELETE,Employees,53,69,1.2356138677155448,94,True,,,,,,
13,Sara Carey,DBA,IT,.\assets\user13.png,550,2026-01-28 14:36:23.417,14,UPDATE,AuthenticationLogs,62,88,1.1473358393030917,172,False,,,,,,
7,Dr. Kyle Kim,Admin,HR,.\assets\user7.png,594,2026-01-28 14:59:23.417,14,SELECT,AuthenticationLogs,53,12,1.036572573080335,109,False,,,,,,
16,James Fowler,Admin,HR,.\assets\user16.png,611,2026-01-28 19:16:23.417,19,UPDATE,QueryLogs,57,44,0.8968852057896209,141,False,,,,,,
12,John Brown,User,Finance,.\assets\user12.png,642,2026-01-28 21:21:23.417,21,UPDATE,WorkingHours,10,3,0.21216957926975094,192,False,,,,,,
18,Steven Smith,User,HR,.\assets\user18.png,636,2026-01-28 21:43:23.417,21,DELETE,QueryLogs,62,21,1.8509439236361065,54,False,,,,,,
9,Amy Tanner,User,IT,.\assets\user9.png,577,2026-01-28 22:05:23.417,22,SELECT,WorkingHours,94,1,1.5875652029600171,85,False,,,,,,
3,Mikayla Lee,User,Finance,.\assets\user3.png,593,2026-01-28 23:21:23.417,23,DELETE,QueryLogs,60,56,1.1665098579078028,86,False,,,,,,
9,Amy Tanner,User,IT,.\assets\user9.png,575,2026-01-29 00:43:23.417,0,INSERT,Employees,34,54,0.315866683274179,60,False,,,,,,
8,Michael Henderson,Admin,Finance,.\assets\user8.png,563,2026-01-29 00:48:23.417,0,DELETE,Employees,90,47,1.6193653450558683,115,True,,,,,,
19,Justin Price,DBA,IT,.\assets\user19.png,608,2026-01-29 01:49:23.417,1,UPDATE,WorkingHours,24,64,1.6169096251253317,99,False,,,,,,
9,Amy Tanner,User,IT,.\assets\user9.png,572,2026-01-29 01:55:23.417,1,INSERT,Employees,61,66,1.32364784673291,143,False,,,,,,
4,Emily Reid,DBA,Finance,.\assets\user4.png,590,2026-01-29 02:27:23.417,2,SELECT,AuthenticationLogs,71,39,1.5180199921386732,131,False,,,,,,
13,Sara Carey,DBA,IT,.\assets\user13.png,552,2026-01-29 06:24:23.417,6,INSERT,WorkingHours,11,40,1.5359272207577563,36,False,,,,,,
1,Matthew Scott,DBA,HR,.\assets\user1.png,579,2026-01-29 06:45:23.417,6,UPDATE,AuthenticationLogs,83,52,1.3776219701832844,143,False,,,,,,
1,Matthew Scott,DBA,HR,.\assets\user1.png,583,2026-01-29 07:52:23.417,7,SELECT,WorkingHours,47,87,1.6670035035734407,174,False,,,,,,
2,Dr. John Holder MD,User,HR,.\assets\user2.png,648,2026-01-29 11:48:23.417,11,DELETE,AuthenticationLogs,56,91,1.6268500338888074,92,False,,,,,,
15,John Luna,Admin,IT,.\assets\user15.png,647,2026-01-29 12:47:23.417,12,DELETE,AuthenticationLogs,24,99,0.32562055883748287,79,False,,,,,,
4,Emily Reid,DBA,Finance,.\assets\user4.png,587,2026-01-29 12:49:23.417,12,INSERT,WorkingHours,33,65,1.7273597136462333,190,False,,,,,,
21,UEBA Attacker,,,./assets/UnknowUser.png,651,2026-01-29 16:24:23.417,16,DELETE,Employees,191,88,1.3833285299786868,380,True,,,,,,
8,Michael Henderson,Admin,Finance,.\assets\user8.png,562,2026-01-29 16:37:23.417,16,INSERT,QueryLogs,12,37,1.7194083030344527,110,False,,,,,,
10,Jonathan Moore,DBA,IT,.\assets\user10.png,623,2026-01-29 21:06:23.417,21,DELETE,WorkingHours,16,43,1.9309112025685737,77,False,,,,,,
13,Sara Carey,DBA,IT,.\assets\user13.png,549,2026-01-29 21:24:23.417,21,DELETE,AuthenticationLogs,50,76,0.148970635207646,109,False,,,,,,
2,Dr. John Holder MD,User,HR,.\assets\user2.png,650,2026-01-29 22:46:23.417,22,UPDATE,QueryLogs,65,44,1.6244926374144912,90,False,,,,,,
8,Michael Henderson,Admin,Finance,.\assets\user8.png,559,2026-01-30 01:14:23.417,1,SELECT,AuthenticationLogs,33,100,1.4047919830932571,137,False,,,,,,
14,Terrance Clark,DBA,IT,.\assets\user14.png,564,2026-01-30 02:41:23.417,2,SELECT,WorkingHours,75,48,1.8806067454044355,33,False,,,,,,
17,Nicole Roberson,DBA,IT,.\assets\user17.png,628,2026-01-30 03:24:23.417,3,UPDATE,Employees,58,2,1.569542223676392,119,True,,,,,,
20,Kevin Dunn,User,IT,.\assets\user20.png,614,2026-01-30 03:38:23.417,3,SELECT,AuthenticationLogs,36,40,0.8992189886222652,146,False,,,,,,
18,Steven Smith,User,HR,.\assets\user18.png,635,2026-01-30 04:26:23.417,4,INSERT,QueryLogs,85,64,1.2782244611569709,65,False,,,,,,
10,Jonathan Moore,DBA,IT,.\assets\user10.png,622,2026-01-30 05:04:23.417,5,INSERT,AuthenticationLogs,59,100,0.24945088849924313,93,False,,,,,,
1,Matthew Scott,DBA,HR,.\assets\user1.png,584,2026-01-30 06:32:23.417,6,INSERT,AuthenticationLogs,48,6,0.8796434350606747,129,False,,,,,,
19,Justin Price,DBA,IT,.\assets\user19.png,607,2026-01-30 07:07:23.417,7,UPDATE,Employees,72,31,1.0826056670814592,168,True,,,,,,
10,Jonathan Moore,DBA,IT,.\assets\user10.png,619,2026-01-30 07:25:23.417,7,INSERT,AuthenticationLogs,28,93,1.57492356672637,168,False,,,,,,
18,Steven Smith,User,HR,.\assets\user18.png,637,2026-01-30 07:35:23.417,7,SELECT,Employees,57,49,1.5177200024372033,152,False,,,,,,
19,Justin Price,DBA,IT,.\assets\user19.png,604,2026-01-30 08:50:23.417,8,DELETE,AuthenticationLogs,17,48,1.9589864513127446,153,False,,,,,,
15,John Luna,Admin,IT,.\assets\user15.png,646,2026-01-30 10:32:23.417,10,UPDATE,QueryLogs,85,81,1.4067885061597774,118,False,,,,,,
9,Amy Tanner,User,IT,.\assets\user9.png,574,2026-01-30 11:02:23.417,11,SELECT,Employees,29,47,0.8020537163513147,102,False,,,,,,
20,Kevin Dunn,User,IT,.\assets\user20.png,617,2026-01-30 11:04:23.417,11,SELECT,Employees,25,78,0.46280928105515773,152,False,,,,,,
15,John Luna,Admin,IT,.\assets\user15.png,645,2026-01-30 11:14:23.417,11,DELETE,Employees,85,11,1.6698177768358828,114,True,,,,,,
1,Matthew Scott,DBA,HR,.\assets\user1.png,578,2026-01-30 12:36:23.417,12,SELECT,WorkingHours,30,42,0.2607388352794445,47,False,,,,,,
